year,month,day,누적발전량,일간발전량,일시
2021,5,1,162585.09,76.21,2021-05-01
2021,5,2,162661.3,303.7,2021-05-02
2021,5,3,162965,323.09,2021-05-03
2021,5,4,163288.09,165.91,2021-05-04
2021,5,5,163454,311,2021-05-05
2021,5,6,163765,293,2021-05-06
2021,5,7,164058,261.3,2021-05-07
2021,5,8,164319.3,335.7,2021-05-08
2021,5,9,164655,305.09,2021-05-09
2021,5,10,164960.09,104.91,2021-05-10
2021,5,11,165065,316,2021-05-11
2021,5,12,165381,275.09,2021-05-12
2021,5,13,165656.09,310.21,2021-05-13
2021,5,14,165966.3,280.79,2021-05-14
2021,5,15,166247.09,90.91,2021-05-15
2021,5,16,166338,61.09,2021-05-16
2021,5,17,166399.09,72.32,2021-05-17
2021,5,18,166471.41,215.59,2021-05-18
2021,5,19,166687,318,2021-05-19
2021,5,20,167005,78,2021-05-20
2021,5,21,167083,76,2021-05-21
2021,5,22,167159,307,2021-05-22
2021,5,23,167466,282,2021-05-23
2021,5,24,167748,173.3,2021-05-24
2021,5,25,167921.3,268.79,2021-05-25
2021,5,26,168190.09,213.91,2021-05-26
2021,5,27,168404,165,2021-05-27
2021,5,28,168569,64,2021-05-28
2021,5,29,168633,281,2021-05-29
2021,5,30,168914,329,2021-05-30
2021,5,31,169243,108.3,2021-05-31
2021,6,2,169351,497.41,2021-06-02
2021,6,3,169848.41,123.59,2021-06-03
2021,6,4,169972,292,2021-06-04
2021,6,5,170264,313,2021-06-05
2021,6,6,170577,291,2021-06-06
2021,6,7,170868,261,2021-06-07
2021,6,8,171129,155.2,2021-06-08
2021,6,9,171284.2,290.8,2021-06-09
2021,6,10,171575,177.09,2021-06-10
2021,6,11,171752.09,202.91,2021-06-11
2021,6,12,171955,324.3,2021-06-12
2021,6,13,172279.3,288.9,2021-06-13
2021,6,14,172568.2,217.8,2021-06-14
2021,6,15,172786,72.41,2021-06-15
2021,6,16,172858.41,60,2021-06-16
2021,6,17,172918.41,131.59,2021-06-17
2021,6,18,173050,181,2021-06-18
2021,6,19,173231,313.3,2021-06-19
2021,6,20,173544.3,294,2021-06-20
2021,6,21,173838.3,229,2021-06-21
2021,6,22,174067.3,86.7,2021-06-22
2021,6,23,174154,130,2021-06-23
2021,6,24,174284,318,2021-06-24
2021,6,25,174602,301.09,2021-06-25
2021,6,26,174903.09,156.91,2021-06-26
2021,6,27,175060,221,2021-06-27
2021,6,28,175281,206.09,2021-06-28
2021,6,29,175487.09,296.91,2021-06-29
2021,6,30,175784,100.09,2021-06-30
2021,7,1,175884.09,307.91,2021-07-01
2021,7,2,176192,166.09,2021-07-02
2021,7,3,176358.09,63.91,2021-07-03
2021,7,4,176422,112,2021-07-04
2021,7,5,176534,241.41,2021-07-05
2021,7,6,176775.41,269.59,2021-07-06
2021,7,7,177045,243.3,2021-07-07
2021,7,8,177288.3,273.7,2021-07-08
2021,7,9,177562,261,2021-07-09
2021,7,10,177823,230,2021-07-10
2021,7,11,178053,300.41,2021-07-11
2021,7,12,178353.41,329.68,2021-07-12
2021,7,13,178683.09,322.91,2021-07-13
2021,7,14,179006,200,2021-07-14
2021,7,15,179206,214,2021-07-15
2021,7,16,179420,295.2,2021-07-16
2021,7,17,179715.2,239.8,2021-07-17
2021,7,18,179955,307,2021-07-18
2021,7,19,180262,247,2021-07-19
2021,7,20,180509,294.2,2021-07-20
2021,7,21,180803.2,306.89,2021-07-21
2021,7,22,181110.09,325.21,2021-07-22
2021,7,23,181435.3,331.7,2021-07-23
2021,7,24,181767,296.3,2021-07-24
2021,7,25,182063.3,301.9,2021-07-25
2021,7,26,182365.2,355.8,2021-07-26
2021,7,27,182721,315.09,2021-07-27
2021,7,28,183036.09,362.91,2021-07-28
2021,7,29,183399,339,2021-07-29
2021,7,30,183738,334,2021-07-30
2021,7,31,184072,321,2021-07-31
2021,8,1,184393,196.3,2021-08-01
2021,8,2,184589.3,257.7,2021-08-02
2021,8,3,184847,277.41,2021-08-03
2021,8,4,185124.41,291,2021-08-04
2021,8,5,185415.41,323.59,2021-08-05
2021,8,6,185739,318.3,2021-08-06
2021,8,7,186057.3,156,2021-08-07
2021,8,8,186213.3,102.7,2021-08-08
2021,8,9,186316,174,2021-08-09
2021,8,10,186490,226,2021-08-10
2021,8,11,186716,264.09,2021-08-11
2021,8,12,186980.09,186.21,2021-08-12
2021,8,13,187166.3,177.7,2021-08-13
2021,8,14,187344,85.41,2021-08-14
2021,8,15,187429.41,109.59,2021-08-15
2021,8,16,187539,216,2021-08-16
2021,8,17,187755,103.3,2021-08-17
2021,8,18,187858.3,133.11,2021-08-18
2021,8,19,187991.41,87.89,2021-08-19
2021,8,20,188079.3,250.7,2021-08-20
2021,8,21,188330,108,2021-08-21
2021,8,22,188438,124.41,2021-08-22
2021,8,23,188562.41,116.68,2021-08-23
2021,8,24,188679.09,90,2021-08-24
2021,8,25,188769.09,83.91,2021-08-25
2021,8,26,188853,199,2021-08-26
2021,8,27,189052,105,2021-08-27
2021,8,28,189157,260.41,2021-08-28
2021,8,29,189417.41,175.59,2021-08-29
2021,8,30,189593,213,2021-08-30
2021,8,31,189806,86.09,2021-08-31
2021,9,1,189892.09,65,2021-09-01
2021,9,2,189957.09,193.91,2021-09-02
2021,9,3,190151,313.3,2021-09-03
2021,9,4,190464.3,226.79,2021-09-04
2021,9,5,190691.09,214.91,2021-09-05
2021,9,6,190906,214,2021-09-06
2021,9,7,191120,75,2021-09-07
2021,9,8,191195,158,2021-09-08
2021,9,9,191353,295,2021-09-09
2021,9,10,191648,199.2,2021-09-10
2021,9,11,191847.2,328.89,2021-09-11
2021,9,12,192176.09,281.32,2021-09-12
